,pid,act,start,end,duration
0,0,home,0,390,390
1,0,shop,390,420,30
2,0,work,420,960,540
3,0,leisure,960,1095,135
4,0,home,1095,1440,345
5,1,home,0,390,390
6,1,shop,390,420,30
7,1,education,420,540,120
8,1,work,540,960,420
9,1,leisure,960,1020,60
10,1,home,1020,1440,420
11,2,home,0,375,375
12,2,work,375,795,420
13,2,education,795,945,150
14,2,leisure,945,1020,75
15,2,home,1020,1440,420
16,3,home,0,390,390
17,3,work,390,1005,615
18,3,education,1005,1080,75
19,3,home,1080,1440,360
20,4,home,0,375,375
21,4,shop,375,405,30
22,4,work,405,945,540
23,4,leisure,945,1005,60
24,4,home,1005,1440,435
25,5,home,0,375,375
26,5,shop,375,390,15
27,5,education,390,480,90
28,5,work,480,930,450
29,5,leisure,930,1020,90
30,5,home,1020,1440,420
31,6,home,0,405,405
32,6,leisure,405,450,45
33,6,work,450,960,510
34,6,leisure,960,1080,120
35,6,home,1080,1440,360
36,7,home,0,390,390
37,7,leisure,390,405,15
38,7,work,405,990,585
39,7,education,990,1080,90
40,7,home,1080,1440,360
41,8,home,0,390,390
42,8,work,390,930,540
43,8,shop,930,960,30
44,8,home,960,1440,480
45,9,home,0,375,375
46,9,shop,375,435,60
47,9,work,435,975,540
48,9,leisure,975,1050,75
49,9,home,1050,1440,390
50,10,home,0,375,375
51,10,shop,375,390,15
52,10,work,390,990,600
53,10,education,990,1080,90
54,10,home,1080,1440,360
55,11,home,0,375,375
56,11,leisure,375,435,60
57,11,work,435,990,555
58,11,education,990,1080,90
59,11,home,1080,1440,360
60,12,home,0,405,405
61,12,work,405,990,585
62,12,shop,990,1005,15
63,12,home,1005,1140,135
64,12,shop,1140,1155,15
65,12,home,1155,1440,285
66,13,home,0,390,390
67,13,work,390,1005,615
68,13,leisure,1005,1065,60
69,13,home,1065,1440,375
70,14,home,0,375,375
71,14,work,375,960,585
72,14,leisure,960,1050,90
73,14,home,1050,1440,390
74,15,home,0,375,375
75,15,work,375,915,540
76,15,shop,915,960,45
77,15,home,960,1230,270
78,15,leisure,1230,1290,60
79,15,home,1290,1440,150
80,16,home,0,405,405
81,16,work,405,975,570
82,16,leisure,975,1035,60
83,16,home,1035,1440,405
84,17,home,0,390,390
85,17,shop,390,405,15
86,17,work,405,825,420
87,17,education,825,975,150
88,17,home,975,1440,465
89,18,home,0,375,375
90,18,shop,375,390,15
91,18,work,390,825,435
92,18,education,825,975,150
93,18,leisure,975,1035,60
94,18,shop,1035,1050,15
95,18,home,1050,1440,390
96,19,home,0,405,405
97,19,shop,405,465,60
98,19,work,465,915,450
99,19,leisure,915,1005,90
100,19,home,1005,1440,435
101,20,home,0,390,390
102,20,shop,390,450,60
103,20,work,450,990,540
104,20,education,990,1080,90
105,20,home,1080,1440,360
106,21,home,0,375,375
107,21,work,375,810,435
108,21,education,810,930,120
109,21,shop,930,960,30
110,21,home,960,1440,480
111,22,home,0,405,405
112,22,leisure,405,420,15
113,22,work,420,960,540
114,22,shop,960,975,15
115,22,home,975,1440,465
116,23,home,0,375,375
117,23,work,375,810,435
118,23,education,810,930,120
119,23,shop,930,960,30
120,23,home,960,1440,480
121,24,home,0,390,390
122,24,shop,390,435,45
123,24,work,435,1005,570
124,24,leisure,1005,1065,60
125,24,home,1065,1440,375
126,25,home,0,405,405
127,25,shop,405,420,15
128,25,work,420,945,525
129,25,leisure,945,1035,90
130,25,home,1035,1440,405
131,26,home,0,435,435
132,26,work,435,915,480
133,26,shop,915,960,45
134,26,home,960,1440,480
135,27,home,0,390,390
136,27,shop,390,420,30
137,27,work,420,915,495
138,27,shop,915,960,45
139,27,home,960,1200,240
140,27,leisure,1200,1275,75
141,27,home,1275,1440,165
142,28,home,0,375,375
143,28,shop,375,435,60
144,28,work,435,975,540
145,28,education,975,1080,105
146,28,home,1080,1440,360
147,29,home,0,375,375
148,29,work,375,915,540
149,29,leisure,915,1005,90
150,29,home,1005,1440,435
151,30,home,0,375,375
152,30,shop,375,390,15
153,30,education,390,465,75
154,30,work,465,1020,555
155,30,leisure,1020,1080,60
156,30,home,1080,1440,360
157,31,home,0,420,420
158,31,work,420,960,540
159,31,shop,960,975,15
160,31,home,975,1185,210
161,31,leisure,1185,1245,60
162,31,home,1245,1440,195
163,32,home,0,390,390
164,32,work,390,825,435
165,32,education,825,975,150
166,32,home,975,1440,465
167,33,home,0,405,405
168,33,work,405,930,525
169,33,leisure,930,990,60
170,33,shop,990,1005,15
171,33,home,1005,1440,435
172,34,home,0,390,390
173,34,shop,390,435,45
174,34,work,435,975,540
175,34,education,975,1080,105
176,34,home,1080,1440,360
177,35,home,0,405,405
178,35,work,405,900,495
179,35,shop,900,960,60
180,35,home,960,1440,480
181,36,home,0,390,390
182,36,shop,390,420,30
183,36,leisure,420,480,60
184,36,work,480,990,510
185,36,education,990,1080,90
186,36,home,1080,1440,360
187,37,home,0,375,375
188,37,shop,375,405,30
189,37,work,405,990,585
190,37,education,990,1080,90
191,37,home,1080,1440,360
192,38,home,0,390,390
193,38,shop,390,420,30
194,38,work,420,915,495
195,38,leisure,915,990,75
196,38,home,990,1440,450
197,39,home,0,375,375
198,39,shop,375,390,15
199,39,work,390,960,570
200,39,leisure,960,1020,60
201,39,home,1020,1440,420
202,40,home,0,390,390
203,40,work,390,915,525
204,40,leisure,915,990,75
205,40,home,990,1440,450
206,41,home,0,375,375
207,41,shop,375,390,15
208,41,work,390,975,585
209,41,shop,975,990,15
210,41,home,990,1440,450
211,42,home,0,390,390
212,42,shop,390,450,60
213,42,work,450,1035,585
214,42,leisure,1035,1095,60
215,42,home,1095,1440,345
216,43,home,0,375,375
217,43,shop,375,405,30
218,43,work,405,825,420
219,43,education,825,1005,180
220,43,home,1005,1440,435
221,44,home,0,405,405
222,44,shop,405,465,60
223,44,work,465,930,465
224,44,leisure,930,1020,90
225,44,home,1020,1440,420
226,45,home,0,405,405
227,45,work,405,915,510
228,45,shop,915,960,45
229,45,home,960,1440,480
230,46,home,0,390,390
231,46,shop,390,450,60
232,46,work,450,1005,555
233,46,education,1005,1080,75
234,46,home,1080,1440,360
235,47,home,0,375,375
236,47,work,375,810,435
237,47,education,810,975,165
238,47,home,975,1440,465
239,48,home,0,375,375
240,48,shop,375,390,15
241,48,work,390,930,540
