pid,gender,age,employment
0,F,24,FTW
1,M,85,NEET
2,M,60,FTW
3,F,31,PTW
4,M,17,FTE
5,M,73,NEET
6,M,8,FTE
7,M,99,NEET
8,F,72,NEET
9,M,50,FTW
10,F,16,FTE
11,M,93,NEET
12,F,58,PTW
13,M,44,FTW
14,M,91,NEET
15,M,94,NEET
16,F,36,PTW
17,F,66,NEET
18,M,31,NEET
19,M,53,FTW
20,M,50,NEET
21,M,59,FTW
22,M,42,FTW
23,F,38,PTW
24,F,14,FTE
25,F,65,PTW
26,M,59,NEET
27,M,27,FTW
28,M,34,FTW
29,M,86,NEET
30,F,28,FTE
31,F,99,NEET
32,F,85,NEET
33,F,90,NEET
34,F,8,FTE
35,F,20,NEET
36,F,37,FTW
37,F,68,FTW
38,F,42,FTW
39,M,74,NEET
40,F,52,NEET
41,F,69,FTE
42,M,15,FTE
43,M,83,NEET
44,F,42,PTW
45,F,47,NEET
46,M,19,NEET
47,M,20,FTE
48,F,78,NEET
49,F,7,FTE
50,F,76,NEET
51,M,78,NEET
52,M,55,FTW
53,M,96,NEET
54,F,10,FTE
55,F,51,PTW
56,F,59,PTW
57,M,25,FTW
58,M,46,FTW
59,M,53,FTW
60,F,47,PTW
61,F,34,PTW
62,M,96,NEET
63,M,82,NEET
64,M,7,FTE
65,F,32,PTW
66,F,94,NEET
67,F,21,NEET
68,M,18,FTW
69,F,95,NEET
70,M,72,NEET
71,M,21,FTW
72,F,91,NEET
73,F,94,NEET
74,F,96,NEET
75,F,75,NEET
76,F,7,FTE
77,M,75,NEET
78,F,57,PTW
79,F,56,NEET
80,F,74,PTW
81,F,71,NEET
82,F,77,NEET
83,F,60,PTW
84,M,56,NEET
85,M,5,FTE
86,F,18,FTE
87,F,91,NEET
88,F,75,NEET
89,F,66,PTW
90,M,91,NEET
91,M,24,FTW
92,M,7,FTE
93,F,8,FTE
94,F,41,PTW
95,M,8,FTE
96,M,77,NEET
97,M,68,NEET
98,M,31,FTW
99,M,88,NEET
100,M,52,FTW
101,F,59,FTW
102,M,57,FTW
103,F,64,PTW
104,F,13,FTE
105,F,42,PTW
106,F,39,NEET
107,M,80,NEET
108,F,88,NEET
109,M,51,NEET
110,M,93,NEET
111,M,97,NEET
112,F,46,NEET
113,M,76,NEET
114,F,51,NEET
115,M,16,FTE
116,F,26,PTW
117,F,16,FTE
118,M,79,NEET
119,M,50,FTW
120,M,58,NEET
121,F,90,NEET
122,F,99,NEET
123,F,48,FTW
124,F,19,NEET
125,M,82,NEET
126,M,52,NEET
127,F,42,PTW
128,M,94,NEET
129,F,28,NEET
130,F,19,NEET
131,M,63,NEET
132,M,40,FTW
133,M,9,FTE
134,M,38,NEET
135,F,84,NEET
136,M,62,FTW
137,M,17,FTE
138,M,26,NEET
139,M,9,FTE
140,M,86,NEET
141,M,23,NEET
142,F,19,NEET
143,M,45,NEET
144,M,33,FTW
