pid,act,start,end,duration
0,home,0,375,375
0,work,375,1170,795
0,home,1170,1440,270
1,home,0,390,390
1,shop,390,450,60
1,leisure,450,1005,555
1,home,1005,1440,435
2,home,0,375,375
2,work,375,1185,810
2,home,1185,1440,255
3,home,0,375,375
3,work,375,795,420
3,shop,795,855,60
3,home,855,1440,585
4,home,0,405,405
4,shop,405,465,60
4,leisure,465,990,525
4,home,990,1440,450
5,home,0,375,375
5,shop,375,510,135
5,leisure,510,990,480
5,home,990,1440,450
6,home,0,390,390
6,leisure,390,465,75
6,shop,465,585,120
6,home,585,1440,855
7,home,0,390,390
7,shop,390,525,135
7,leisure,525,1020,495
7,home,1020,1440,420
8,home,0,420,420
8,shop,420,480,60
8,leisure,480,990,510
8,home,990,1440,450
9,home,0,375,375
9,work,375,1095,720
9,home,1095,1440,345
10,home,0,375,375
10,leisure,375,555,180
10,shop,555,930,375
10,home,930,1440,510
11,home,0,420,420
11,shop,420,510,90
11,leisure,510,1005,495
11,home,1005,1440,435
12,home,0,375,375
12,work,375,795,420
12,shop,795,855,60
12,home,855,1440,585
13,home,0,375,375
13,work,375,1095,720
13,home,1095,1440,345
14,home,0,375,375
14,shop,375,435,60
14,leisure,435,990,555
14,home,990,1440,450
15,home,0,405,405
15,leisure,405,555,150
15,shop,555,855,300
15,home,855,1440,585
16,home,0,375,375
16,work,375,795,420
16,shop,795,855,60
16,home,855,1440,585
17,home,0,405,405
17,leisure,405,585,180
17,shop,585,900,315
17,home,900,1440,540
18,home,0,375,375
18,shop,375,465,90
18,home,465,645,180
18,leisure,645,990,345
18,home,990,1440,450
19,home,0,375,375
19,work,375,1095,720
19,home,1095,1440,345
20,home,0,405,405
20,shop,405,465,60
20,leisure,465,810,345
20,home,810,1440,630
21,home,0,375,375
21,work,375,1035,660
21,education,1035,1080,45
21,home,1080,1440,360
22,home,0,375,375
22,work,375,960,585
22,leisure,960,1020,60
22,home,1020,1440,420
23,home,0,375,375
23,work,375,780,405
23,shop,780,795,15
23,work,795,1035,240
23,leisure,1035,1050,15
23,work,1050,1185,135
23,home,1185,1440,255
24,home,0,405,405
24,shop,405,465,60
24,leisure,465,975,510
24,home,975,1440,465
25,home,0,375,375
25,work,375,795,420
25,shop,795,870,75
25,home,870,1440,570
26,home,0,405,405
26,shop,405,495,90
26,home,495,630,135
26,leisure,630,930,300
26,home,930,1440,510
27,home,0,375,375
27,work,375,1155,780
27,home,1155,1440,285
28,home,0,390,390
28,work,390,1065,675
28,home,1065,1440,375
29,home,0,375,375
29,leisure,375,495,120
29,shop,495,585,90
29,home,585,660,75
29,shop,660,675,15
29,home,675,855,180
29,shop,855,945,90
29,home,945,1440,495
30,home,0,375,375
30,shop,375,450,75
30,leisure,450,990,540
30,home,990,1440,450
31,home,0,375,375
31,shop,375,465,90
31,leisure,465,1005,540
31,home,1005,1440,435
32,home,0,375,375
32,shop,375,450,75
32,leisure,450,975,525
32,home,975,1440,465
33,home,0,405,405
33,shop,405,525,120
33,home,525,660,135
33,leisure,660,765,105
33,home,765,990,225
33,shop,990,1005,15
33,home,1005,1440,435
34,home,0,405,405
34,leisure,405,600,195
34,shop,600,915,315
34,home,915,1440,525
35,home,0,375,375
35,leisure,375,555,180
35,shop,555,780,225
35,home,780,1440,660
36,home,0,375,375
36,work,375,1185,810
36,home,1185,1440,255
37,home,0,390,390
37,work,390,1170,780
37,home,1170,1440,270
38,home,0,390,390
38,work,390,1110,720
38,home,1110,1440,330
39,home,0,390,390
39,leisure,390,585,195
39,shop,585,645,60
39,home,645,1440,795
40,home,0,405,405
40,shop,405,495,90
40,leisure,495,990,495
40,home,990,1440,450
41,home,0,390,390
41,shop,390,450,60
41,leisure,450,990,540
41,home,990,1440,450
42,home,0,390,390
42,shop,390,465,75
42,leisure,465,1020,555
42,home,1020,1440,420
43,home,0,390,390
43,shop,390,480,90
43,leisure,480,990,510
43,home,990,1440,450
44,home,0,375,375
44,work,375,780,405
44,shop,780,810,30
44,work,810,1110,300
44,shop,1110,1125,15
44,home,1125,1440,315
45,home,0,420,420
45,shop,420,465,45
45,leisure,465,975,510
45,home,975,1440,465
46,home,0,375,375
46,shop,375,465,90
46,home,465,630,165
46,leisure,630,990,360
46,home,990,1440,450
47,home,0,390,390
47,shop,390,465,75
47,leisure,465,975,510
47,home,975,1440,465
48,home,0,375,375
48,shop,375,525,150
48,home,525,540,15
48,leisure,540,780,240
48,home,780,1440,660
49,home,0,375,375
49,shop,375,420,45
49,leisure,420,990,570
49,home,990,1440,450
50,home,0,405,405
50,shop,405,465,60
50,leisure,465,570,105
50,shop,570,825,255
50,home,825,1035,210
50,shop,1035,1050,15
50,home,1050,1440,390
51,home,0,375,375
51,shop,375,435,60
51,leisure,435,1005,570
51,home,1005,1440,435
52,home,0,390,390
52,work,390,1080,690
52,home,1080,1440,360
53,home,0,405,405
53,shop,405,480,75
53,leisure,480,990,510
53,home,990,1440,450
54,home,0,405,405
54,shop,405,510,105
54,leisure,510,1005,495
54,home,1005,1440,435
55,home,0,375,375
55,work,375,795,420
55,shop,795,840,45
55,education,840,990,150
55,home,990,1440,450
56,home,0,375,375
56,work,375,795,420
56,shop,795,870,75
56,home,870,1440,570
57,home,0,375,375
57,work,375,1095,720
57,home,1095,1440,345
58,home,0,375,375
58,work,375,1080,705
58,leisure,1080,1110,30
58,home,1110,1440,330
59,home,0,375,375
59,work,375,1170,795
59,home,1170,1440,270
60,home,0,375,375
60,work,375,765,390
60,shop,765,780,15
60,work,780,1020,240
60,leisure,1020,1035,15
60,work,1035,1095,60
60,leisure,1095,1110,15
60,work,1110,1125,15
60,leisure,1125,1155,30
60,work,1155,1185,30
60,leisure,1185,1200,15
60,work,1200,1215,15
60,home,1215,1440,225
61,home,0,375,375
61,work,375,795,420
61,shop,795,855,60
61,home,855,1440,585
62,home,0,390,390
62,leisure,390,510,120
62,shop,510,675,165
62,home,675,1440,765
63,home,0,405,405
63,shop,405,465,60
63,leisure,465,990,525
63,home,990,1440,450
64,home,0,390,390
64,leisure,390,465,75
64,shop,465,645,180
64,home,645,930,285
64,leisure,930,1020,90
64,home,1020,1440,420
65,home,0,375,375
65,work,375,795,420
65,shop,795,885,90
65,home,885,1440,555
66,home,0,420,420
66,shop,420,495,75
66,leisure,495,1005,510
66,home,1005,1440,435
67,home,0,405,405
67,shop,405,465,60
67,leisure,465,975,510
67,home,975,1440,465
68,home,0,375,375
68,work,375,1095,720
68,home,1095,1440,345
69,home,0,405,405
69,shop,405,480,75
69,leisure,480,960,480
69,home,960,1440,480
70,home,0,375,375
70,shop,375,495,120
70,leisure,495,1020,525
70,home,1020,1440,420
71,home,0,375,375
71,work,375,1080,705
71,education,1080,1095,15
71,home,1095,1440,345
72,home,0,390,390
72,shop,390,465,75
72,leisure,465,975,510
72,home,975,1440,465
73,home,0,405,405
73,leisure,405,645,240
73,shop,645,795,150
73,home,795,1440,645
74,home,0,390,390
74,shop,390,465,75
74,leisure,465,975,510
74,home,975,1440,465
75,home,0,375,375
75,shop,375,465,90
75,leisure,465,990,525
75,home,990,1440,450
76,home,0,375,375
76,shop,375,420,45
76,leisure,420,630,210
76,shop,630,810,180
76,home,810,1440,630
77,home,0,405,405
77,leisure,405,540,135
77,shop,540,675,135
77,home,675,1440,765
78,home,0,375,375
78,work,375,795,420
78,shop,795,855,60
78,home,855,1440,585
79,home,0,390,390
79,leisure,390,645,255
79,shop,645,735,90
79,home,735,1440,705
80,home,0,375,375
80,work,375,780,405
80,education,780,975,195
80,home,975,1440,465
81,home,0,375,375
81,shop,375,435,60
81,leisure,435,990,555
81,home,990,1440,450
82,home,0,390,390
82,shop,390,480,90
82,leisure,480,990,510
82,home,990,1440,450
83,home,0,375,375
83,work,375,765,390
83,shop,765,810,45
83,work,810,1140,330
83,leisure,1140,1170,30
83,work,1170,1200,30
83,home,1200,1440,240
84,home,0,390,390
84,leisure,390,570,180
84,shop,570,750,180
84,home,750,1440,690
85,home,0,375,375
85,shop,375,555,180
85,home,555,660,105
85,leisure,660,810,150
85,home,810,1440,630
86,home,0,375,375
86,leisure,375,495,120
86,shop,495,690,195
86,home,690,1440,750
87,home,0,375,375
87,leisure,375,570,195
87,shop,570,795,225
87,home,795,1440,645
88,home,0,375,375
88,shop,375,435,60
88,home,435,600,165
88,leisure,600,780,180
88,home,780,1440,660
89,home,0,375,375
89,work,375,795,420
89,shop,795,825,30
89,work,825,1140,315
89,home,1140,1440,300
90,home,0,390,390
90,shop,390,450,60
90,leisure,450,1005,555
90,home,1005,1440,435
91,home,0,375,375
91,work,375,1095,720
91,home,1095,1440,345
92,home,0,405,405
92,shop,405,465,60
92,leisure,465,1020,555
92,home,1020,1440,420
93,home,0,405,405
93,leisure,405,525,120
93,shop,525,585,60
93,home,585,795,210
93,leisure,795,990,195
93,home,990,1440,450
94,home,0,375,375
94,work,375,795,420
94,shop,795,855,60
94,home,855,1440,585
95,home,0,420,420
95,leisure,420,615,195
95,shop,615,855,240
95,home,855,1440,585
96,home,0,375,375
96,shop,375,435,60
96,leisure,435,990,555
96,home,990,1440,450
97,home,0,375,375
97,shop,375,465,90
97,leisure,465,990,525
97,home,990,1440,450
98,home,0,375,375
98,work,375,1110,735
98,home,1110,1440,330
99,home,0,420,420
99,leisure,420,705,285
99,shop,705,795,90
99,home,795,1440,645
100,home,0,375,375
100,work,375,810,435
100,education,810,930,120
100,shop,930,960,30
100,home,960,1440,480
101,home,0,375,375
101,work,375,1065,690
101,home,1065,1440,375
102,home,0,375,375
102,work,375,1005,630
102,home,1005,1440,435
103,home,0,375,375
103,work,375,765,390
103,shop,765,780,15
103,work,780,1005,225
103,leisure,1005,1035,30
103,work,1035,1095,60
103,leisure,1095,1110,15
103,work,1110,1140,30
103,leisure,1140,1170,30
103,work,1170,1200,30
103,leisure,1200,1230,30
103,home,1230,1440,210
104,home,0,405,405
104,shop,405,510,105
104,home,510,645,135
104,leisure,645,840,195
104,home,840,1440,600
105,home,0,375,375
105,work,375,795,420
105,shop,795,855,60
105,work,855,1080,225
105,leisure,1080,1095,15
105,work,1095,1125,30
105,home,1125,1440,315
106,home,0,375,375
106,shop,375,450,75
106,leisure,450,975,525
106,home,975,1440,465
107,home,0,390,390
107,leisure,390,600,210
107,shop,600,765,165
107,home,765,1440,675
108,home,0,390,390
108,shop,390,450,60
108,leisure,450,1005,555
108,home,1005,1440,435
109,home,0,420,420
109,shop,420,480,60
109,leisure,480,990,510
109,home,990,1440,450
110,home,0,405,405
110,shop,405,480,75
110,leisure,480,720,240
110,shop,720,855,135
110,home,855,1440,585
111,home,0,405,405
111,shop,405,480,75
111,leisure,480,990,510
111,home,990,1440,450
112,home,0,375,375
112,shop,375,390,15
112,leisure,390,585,195
112,shop,585,885,300
112,home,885,1440,555
113,home,0,375,375
113,shop,375,435,60
113,leisure,435,990,555
113,home,990,1440,450
114,home,0,405,405
114,leisure,405,510,105
114,shop,510,585,75
114,home,585,1440,855
115,home,0,390,390
115,shop,390,585,195
115,leisure,585,975,390
115,home,975,1440,465
116,home,0,390,390
116,work,390,810,420
116,shop,810,870,60
116,education,870,990,120
116,home,990,1440,450
117,home,0,390,390
117,shop,390,450,60
117,leisure,450,990,540
117,home,990,1440,450
118,home,0,405,405
118,leisure,405,585,180
118,shop,585,660,75
118,home,660,1440,780
119,home,0,375,375
119,work,375,1125,750
119,home,1125,1440,315
120,home,0,405,405
120,shop,405,480,75
120,leisure,480,990,510
120,home,990,1440,450
121,home,0,375,375
121,shop,375,495,120
121,leisure,495,1005,510
121,home,1005,1440,435
122,home,0,405,405
122,leisure,405,480,75
122,shop,480,555,75
122,leisure,555,990,435
122,home,990,1440,450
123,home,0,375,375
123,work,375,1110,735
123,home,1110,1440,330
124,home,0,405,405
124,shop,405,480,75
124,leisure,480,990,510
124,home,990,1440,450
125,home,0,405,405
125,shop,405,495,90
125,leisure,495,990,495
125,home,990,1440,450
126,home,0,390,390
126,shop,390,465,75
126,leisure,465,975,510
126,home,975,1440,465
127,home,0,375,375
127,work,375,765,390
127,shop,765,795,30
127,work,795,1050,255
127,shop,1050,1065,15
127,home,1065,1440,375
128,home,0,375,375
128,shop,375,405,30
128,leisure,405,675,270
128,shop,675,960,285
